tier,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0
IRON,,0.2847222222222222,0.2882462686567164,0.5185599152891347,0.736734693877551,0.7314814814814815,
BRONZE,0.3636363636363636,0.3375796178343949,0.3127147766323024,0.521806167400881,0.7122774133083412,0.768595041322314,
SILVER,0.25,0.2553191489361702,0.2586352148272957,0.5121172543897837,0.7315068493150685,0.72,
GOLD,0.4615384615384615,0.3309352517985611,0.276937618147448,0.5147309833024118,0.7179732313575525,0.7073170731707317,0.7
PLATINUM,,0.303030303030303,0.2952952952952953,0.5032472436187887,0.723092998955068,0.7166666666666667,
EMERALD,,0.3398058252427184,0.2793103448275862,0.4891379976807112,0.6776470588235294,0.6666666666666666,
DIAMOND,,0.3723404255319149,0.2816500711237553,0.4997983383076551,0.6981382978723404,0.6888888888888889,
MASTER,,0.3432835820895522,0.2996389891696751,0.5122625852848977,0.6981481481481482,0.7,
GRANDMASTER,,0.4347826086956521,0.2857142857142857,0.5213801238572693,0.6885813148788927,0.5416666666666666,
CHALLENGER,,0.4230769230769231,0.2923728813559322,0.5242687238829958,0.6679245283018868,0.5294117647058824,
