tier,-4.0,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0
IRON,0.1258741258741259,0.1881298992161254,0.3059539330725771,0.3885794763459446,0.5051712992889463,0.663899036864829,0.7613089509143407,0.8294762484774665,0.8501628664495114
BRONZE,0.0933333333333333,0.1666666666666666,0.2796917497733454,0.4005708848715509,0.5302325581395348,0.6533463287849253,0.7642621404997643,0.8571428571428571,0.9073359073359072
SILVER,0.1292307692307692,0.1835032437442076,0.2860073861304883,0.4030534351145038,0.5204587724736516,0.6435045317220544,0.7532663316582915,0.890745501285347,0.9388489208633094
GOLD,0.060790273556231,0.1589793915603533,0.2818737270875763,0.4051314539119417,0.53344,0.6673662119622246,0.7832020997375329,0.8833967046894804,0.9177489177489178
PLATINUM,0.1375358166189111,0.1786771964461994,0.279766860949209,0.4094681832154934,0.5255186038854133,0.6471901749162635,0.7885998893193138,0.8657342657342657,0.8743718592964824
EMERALD,0.0911949685534591,0.1647940074906367,0.2797761790567546,0.3971005357705641,0.5484435117173837,0.6546734454438795,0.74487895716946,0.8233387358184765,0.8475609756097561
DIAMOND,0.0823970037453183,0.1631799163179916,0.3028547786512205,0.3975741239892183,0.5426874536005939,0.6647819063004846,0.7729342875731945,0.8643478260869565,0.9
MASTER,0.0893617021276595,0.1836982968369829,0.3104935313847628,0.4138996138996139,0.5588487972508591,0.6843100189035917,0.7736434108527132,0.8640167364016736,0.9433962264150944
GRANDMASTER,0.2142857142857142,0.1982942430703624,0.3109567901234568,0.4566608493310064,0.5806223479490806,0.6758409785932722,0.7576142131979695,0.7983870967741935,0.825
CHALLENGER,0.0980392156862745,0.211453744493392,0.3397435897435897,0.4542124542124542,0.5963808025177026,0.6931034482758621,0.76103500761035,0.815,0.7894736842105263
