tier,-1.0,0.0,1.0
IRON,0.4146341463414634,0.5153375012707127,0.6883116883116883
BRONZE,0.28,0.5195129566031845,0.6666666666666666
SILVER,0.3064516129032258,0.5074912140082619,0.6578947368421053
GOLD,0.4761904761904761,0.5125736365363907,0.4545454545454545
PLATINUM,0.375,0.5037109375,0.5869565217391305
EMERALD,0.1842105263157894,0.4886140955469964,0.5
DIAMOND,0.4347826086956521,0.4998570407433881,0.5384615384615384
MASTER,0.2857142857142857,0.5106099692102855,0.6666666666666666
GRANDMASTER,,0.5186137809665629,0.5454545454545454
CHALLENGER,,0.5216104203670812,
